iter	Passed	Remaining
215	9252	7881
216	9295	7838
217	9337	7795
218	9380	7752
219	9421	7708
220	9462	7664
221	9507	7623
222	9554	7583
223	9597	7540
224	9639	7497
225	9681	7453
226	9723	7410
227	9764	7366
228	9808	7324
229	9851	7281
230	9894	7238
231	9938	7196
232	9979	7152
233	10022	7110
234	10064	7066
235	10106	7023
236	10151	6981
237	10194	6938
238	10235	6894
239	10278	6852
240	10321	6809
241	10363	6766
242	10406	6723
243	10448	6680
244	10489	6636
245	10533	6594
246	10575	6551
247	10620	6509
248	10662	6465
249	10707	6424
250	10748	6380
251	10793	6339
252	10834	6295
253	10875	6251
254	10917	6207
255	10963	6166
256	11007	6124
257	11048	6080
258	11090	6037
259	11136	5996
260	11180	5954
261	11222	5911
262	11265	5868
263	11307	5825
264	11350	5782
265	11391	5738
266	11432	5695
267	11474	5651
268	11518	5609
269	11560	5566
270	11606	5525
271	11654	5484
272	11695	5440
273	11739	5398
274	11781	5355
275	11821	5311
276	11863	5267
277	11906	5225
278	11948	5181
279	11989	5138
280	12030	5094
281	12071	5051
282	12113	5008
283	12155	4964
284	12198	4922
285	12240	4879
286	12281	4835
287	12322	4792
288	12368	4750
289	12412	4708
290	12454	4665
291	12501	4623
292	12546	4581
293	12587	4538
294	12630	4495
295	12675	4453
296	12717	4410
297	12761	4367
298	12802	4324
299	12845	4281
300	12888	4238
301	12929	4195
302	12976	4154
303	13021	4111
304	13061	4068
305	13103	4025
306	13145	3982
307	13190	3939
308	13233	3897
309	13279	3855
310	13323	3812
311	13365	3769
312	13408	3726
313	13451	3684
314	13493	3640
315	13535	3598
316	13578	3555
317	13618	3511
318	13662	3469
319	13706	3426
320	13749	3383
321	13790	3340
322	13831	3297
323	13875	3254
324	13919	3212
325	13963	3169
326	14004	3126
327	14045	3083
328	14086	3039
329	14128	2996
330	14170	2954
331	14211	2910
332	14252	2867
333	14295	2824
334	14337	2781
335	14378	2738
336	14420	2695
337	14462	2652
338	14503	2609
339	14544	2566
340	14586	2523
341	14627	2480
342	14668	2437
343	14710	2394
344	14753	2352
345	14794	2309
346	14837	2266
347	14880	2223
348	14922	2180
349	14963	2137
350	15003	2094
351	15046	2051
352	15086	2008
353	15129	1965
354	15171	1923
355	15212	1880
356	15256	1837
357	15297	1794
358	15340	1751
359	15383	1709
360	15426	1666
361	15468	1623
362	15511	1581
363	15552	1538
364	15598	1495
365	15640	1452
366	15684	1410
367	15727	1367
368	15771	1324
369	15813	1282
370	15857	1239
371	15901	1196
372	15942	1154
373	15983	1111
374	16025	1068
375	16065	1025
376	16108	982
377	16151	940
378	16192	897
379	16235	854
380	16279	811
381	16324	769
382	16365	726
383	16406	683
384	16448	640
385	16490	598
386	16531	555
387	16573	512
388	16614	469
389	16656	427
390	16700	384
391	16743	341
392	16786	298
393	16828	256
394	16871	213
395	16912	170
396	16956	128
397	16997	85
398	17038	42
399	17079	0
