iter	Logloss
222	0.2552950545
223	0.2551489709
224	0.2550067683
225	0.2549437231
226	0.2546062463
227	0.2545271219
228	0.2544770423
229	0.2542218122
230	0.2541297457
231	0.2540153029
232	0.2539378863
233	0.2538273288
234	0.253719381
235	0.2535828795
236	0.2531935501
237	0.2530540907
238	0.2529816719
239	0.2528675525
240	0.2527796253
241	0.2526101245
242	0.25236152
243	0.2522025042
244	0.2520697562
245	0.2518801147
246	0.2515870768
247	0.2515036131
248	0.2514322055
249	0.2513249828
250	0.2511598899
251	0.2510213226
252	0.2509140165
253	0.2508090643
254	0.2507315995
255	0.250592768
256	0.2503847704
257	0.2503452783
258	0.250297036
259	0.250170814
260	0.2497396338
261	0.2496835094
262	0.2494995723
263	0.2493223798
264	0.2491612395
265	0.2489774204
266	0.2488796481
267	0.2487836834
268	0.2483653421
269	0.248156358
270	0.2480741644
271	0.247694903
272	0.2476222259
273	0.2474506018
274	0.2473270007
275	0.2472767229
276	0.2471591222
277	0.2471147372
278	0.2470420209
279	0.2469657567
280	0.2468911686
281	0.2468186205
282	0.2467656839
283	0.2466608923
284	0.2465197609
285	0.2464050177
286	0.2463675703
287	0.246309579
288	0.2460893538
289	0.2459910059
290	0.2458719052
291	0.2456008517
292	0.2454915994
293	0.2453968807
294	0.2452763787
295	0.2450416536
296	0.244964068
297	0.2448266284
298	0.2447730737
299	0.24463874
300	0.2445478946
301	0.244488686
302	0.2441397831
303	0.243935367
304	0.2438763317
305	0.2437950222
306	0.2437290298
307	0.2436128486
308	0.2435590381
309	0.2433386133
310	0.2432388299
311	0.2431457607
312	0.243055646
313	0.2429672989
314	0.2428380875
315	0.2427658033
316	0.2426782737
317	0.2426259545
318	0.2425785308
319	0.2424797427
320	0.2424259922
321	0.2423674923
322	0.2422901657
323	0.2421688888
324	0.2420736373
325	0.2419822294
326	0.2419209418
327	0.241870086
328	0.2418196541
329	0.2417144254
330	0.2416722818
331	0.241632516
332	0.2415679764
333	0.2414985165
334	0.2414391527
335	0.2413831227
336	0.2413089834
337	0.2412647456
338	0.2412154307
339	0.2411618616
340	0.2410753128
341	0.241014493
342	0.2409673761
343	0.2409012939
344	0.2408300627
345	0.2407935233
346	0.2407092848
347	0.2406723584
348	0.2405922666
349	0.2405355669
350	0.2404765258
351	0.2404064939
352	0.2403713637
353	0.240333067
354	0.2402968984
355	0.2402389542
356	0.2401612074
357	0.2401206596
358	0.2400467551
359	0.2399739633
360	0.2399195279
361	0.2398391517
362	0.2397951076
363	0.2397458369
364	0.2395781325
365	0.2395045241
366	0.2394064444
367	0.2393214401
368	0.2392973729
369	0.2392562078
370	0.2391772613
371	0.2391023879
372	0.2390389454
373	0.2389674229
374	0.23893049
375	0.2388924589
376	0.2388218072
377	0.2387379264
378	0.2386514442
379	0.2386128231
380	0.2385569861
381	0.2384907846
382	0.2384464666
383	0.238409198
384	0.2383613601
385	0.2383133294
386	0.2382584114
387	0.2382268905
388	0.23818751
389	0.2381122553
390	0.2380734485
391	0.2380281415
392	0.2379454729
393	0.2378876407
394	0.237817825
395	0.2377829812
396	0.2377237985
397	0.2376472698
398	0.2375989794
399	0.2375733143
